DAY,DATE,GAME,Game Number
Thursday,"Jun 14, 2018 4:00 PM",[A] Russia - Saudi Arabia (5?0),1
Friday,"Jun 15, 2018 1:00 PM",[A] Egypt - Uruguay (0?1),2
Friday,"Jun 15, 2018 4:00 PM",[B] Morocco - Iran (0?1),3
Friday,"Jun 15, 2018 7:00 PM",[B] Portugal - Spain (3?3),4
Saturday,"Jun 16, 2018 11:00 AM",[C] France - Australia (2?1),5
Saturday,"Jun 16, 2018 2:00 PM",[D] Argentina - Iceland (1?1),6
Saturday,"Jun 16, 2018 5:00 PM",[C] Peru - Denmark (0?1),7
Saturday,"Jun 16, 2018 8:00 PM",[D] Croatia - Nigeria (2?0),8
Sunday,"Jun 17, 2018 1:00 PM",[E] Costa Rica - Serbia (0?1),9
Sunday,"Jun 17, 2018 4:00 PM",[F] Germany - Mexico (0?1),10
Sunday,"Jun 17, 2018 7:00 PM",[E] Brazil - Switzerland (1?1),11
Monday,"Jun 18, 2018 1:00 PM",[F] Sweden - South Korea (1?0),12
Monday,"Jun 18, 2018 4:00 PM",[G] Belgium - Panama (3?0),13
Monday,"Jun 18, 2018 7:00 PM",[G] Tunisia - England (1?2),14
Tuesday,"Jun 19, 2018 1:00 PM",[H] Colombia - Japan (1?2),15
Tuesday,"Jun 19, 2018 4:00 PM",[H] Poland - Senegal (1?2),16
Tuesday,"Jun 19, 2018 7:00 PM",[A] Russia - Egypt (3?1),17
Wednesday,"Jun 20, 2018 1:00 PM",[B] Portugal - Morocco (1?0),18
Wednesday,"Jun 20, 2018 4:00 PM",[A] Uruguay - Saudi Arabia (1?0),19
Wednesday,"Jun 20, 2018 7:00 PM",[B] Iran - Spain (0?1),20
Thursday,"Jun 21, 2018 1:00 PM",[C] Denmark - Australia (1?1),21
Thursday,"Jun 21, 2018 4:00 PM",[C] France - Peru (1?0),22
Thursday,"Jun 21, 2018 7:00 PM",[D] Argentina - Croatia (0?3),23
Friday,"Jun 22, 2018 1:00 PM",[E] Brazil - Costa Rica (2?0),24
Friday,"Jun 22, 2018 4:00 PM",[D] Nigeria - Iceland (2?0),25
Friday,"Jun 22, 2018 7:00 PM",[E] Serbia - Switzerland (1?2),26
Saturday,"Jun 23, 2018 1:00 PM",[G] Belgium - Tunisia (5?2),27
Saturday,"Jun 23, 2018 4:00 PM",[F] South Korea - Mexico (1?2),28
Saturday,"Jun 23, 2018 7:00 PM",[F] Germany - Sweden (2?1),29
Sunday,"Jun 24, 2018 1:00 PM",[G] England - Panama (6?1),30
Sunday,"Jun 24, 2018 4:00 PM",[H] Japan - Senegal (2?2),31
Sunday,"Jun 24, 2018 7:00 PM",[H] Poland - Colombia (0?3),32
Monday,"Jun 25, 2018 3:00 PM",[A] Saudi Arabia - Egypt (2?1),33
Monday,"Jun 25, 2018 3:00 PM",[A] Uruguay - Russia (3?0),34
Monday,"Jun 25, 2018 7:00 PM",[B] Iran - Portugal (1?1),35
Monday,"Jun 25, 2018 7:00 PM",[B] Spain - Morocco (2?2),36
Tuesday,"Jun 26, 2018 3:00 PM",[C] Australia - Peru (0?2),37
Tuesday,"Jun 26, 2018 3:00 PM",[C] Denmark - France (0?0),38
Tuesday,"Jun 26, 2018 7:00 PM",[D] Iceland - Croatia (1?2),39
Tuesday,"Jun 26, 2018 7:00 PM",[D] Nigeria - Argentina (1?2),40
Wednesday,"Jun 27, 2018 3:00 PM",[F] Mexico - Sweden (0?3),41
Wednesday,"Jun 27, 2018 3:00 PM",[F] South Korea - Germany (2?0),42
Wednesday,"Jun 27, 2018 7:00 PM",[E] Switzerland - Costa Rica (2?2),43
Wednesday,"Jun 27, 2018 7:00 PM",[E] Serbia - Brazil (0?2),44
Thursday,"Jun 28, 2018 3:00 PM",[H] Senegal - Colombia (0?1),45
Thursday,"Jun 28, 2018 3:00 PM",[H] Japan - Poland (0?1),46
Thursday,"Jun 28, 2018 7:00 PM",[G] Panama - Tunisia (1?2),47
Thursday,"Jun 28, 2018 7:00 PM",[G] England - Belgium (0?1),48
Saturday,"Jun 30, 2018 3:00 PM",[R16] 1 C - 2 D (4?3) (0?0),49
Saturday,"Jun 30, 2018 7:00 PM",[R16] 1 A - 2 B (2?1) (0?0),50
Sunday,"Jul 1, 2018 3:00 PM",[R16] 1 B - 2 A (1?1) (3?4),51
