DAY,DATE,GAME,Game Number
Thursday,"Jun 14, 2018 4:00 PM",[A] Russia - Saudi Arabia (5?0),1
Friday,"Jun 15, 2018 1:00 PM",[A] Egypt - Uruguay (0?1),2
Friday,"Jun 15, 2018 4:00 PM",[B] Morocco - Iran (0?1),3
Friday,"Jun 15, 2018 7:00 PM",[B] Portugal - Spain (3?3),4
Saturday,"Jun 16, 2018 11:00 AM",[C] France - Australia (2?1),5
Saturday,"Jun 16, 2018 2:00 PM",[D] Argentina - Iceland,6
Saturday,"Jun 16, 2018 5:00 PM",[C] Peru - Denmark,7
Saturday,"Jun 16, 2018 8:00 PM",[D] Croatia - Nigeria,8
Sunday,"Jun 17, 2018 1:00 PM",[E] Costa Rica - Serbia,9
Sunday,"Jun 17, 2018 4:00 PM",[F] Germany - Mexico,10
Sunday,"Jun 17, 2018 7:00 PM",[E] Brazil - Switzerland,11
Monday,"Jun 18, 2018 1:00 PM",[F] Sweden - South Korea,12
Monday,"Jun 18, 2018 4:00 PM",[G] Belgium - Panama,13
Monday,"Jun 18, 2018 7:00 PM",[G] Tunisia - England,14
Tuesday,"Jun 19, 2018 1:00 PM",[H] Colombia - Japan,15
Tuesday,"Jun 19, 2018 4:00 PM",[H] Poland - Senegal,16
Tuesday,"Jun 19, 2018 7:00 PM",[A] Russia - Egypt,17
Wednesday,"Jun 20, 2018 1:00 PM",[B] Portugal - Morocco,18
Wednesday,"Jun 20, 2018 4:00 PM",[A] Uruguay - Saudi Arabia,19
Wednesday,"Jun 20, 2018 7:00 PM",[B] Iran - Spain,20
Thursday,"Jun 21, 2018 1:00 PM",[C] Denmark - Australia,21
Thursday,"Jun 21, 2018 4:00 PM",[C] France - Peru,22
Thursday,"Jun 21, 2018 7:00 PM",[D] Argentina - Croatia,23
Friday,"Jun 22, 2018 1:00 PM",[E] Brazil - Costa Rica,24
Friday,"Jun 22, 2018 4:00 PM",[D] Nigeria - Iceland,25
Friday,"Jun 22, 2018 7:00 PM",[E] Serbia - Switzerland,26
Saturday,"Jun 23, 2018 1:00 PM",[G] Belgium - Tunisia,27
Saturday,"Jun 23, 2018 4:00 PM",[F] South Korea - Mexico,28
Saturday,"Jun 23, 2018 7:00 PM",[F] Germany - Sweden,29
Sunday,"Jun 24, 2018 1:00 PM",[G] England - Panama,30
Sunday,"Jun 24, 2018 4:00 PM",[H] Japan - Senegal,31
Sunday,"Jun 24, 2018 7:00 PM",[H] Poland - Colombia,32
Monday,"Jun 25, 2018 3:00 PM",[A] Saudi Arabia - Egypt,33
Monday,"Jun 25, 2018 3:00 PM",[A] Uruguay - Russia,34
Monday,"Jun 25, 2018 7:00 PM",[B] Iran - Portugal,35
Monday,"Jun 25, 2018 7:00 PM",[B] Spain - Morocco,36
Tuesday,"Jun 26, 2018 3:00 PM",[C] Australia - Peru,37
Tuesday,"Jun 26, 2018 3:00 PM",[C] Denmark - France,38
Tuesday,"Jun 26, 2018 7:00 PM",[D] Iceland - Croatia,39
Tuesday,"Jun 26, 2018 7:00 PM",[D] Nigeria - Argentina,40
Wednesday,"Jun 27, 2018 3:00 PM",[F] Mexico - Sweden,41
Wednesday,"Jun 27, 2018 3:00 PM",[F] South Korea - Germany,42
Wednesday,"Jun 27, 2018 7:00 PM",[E] Switzerland - Costa Rica,43
Wednesday,"Jun 27, 2018 7:00 PM",[E] Serbia - Brazil,44
Thursday,"Jun 28, 2018 3:00 PM",[H] Senegal - Colombia,45
Thursday,"Jun 28, 2018 3:00 PM",[H] Japan - Poland,46
Thursday,"Jun 28, 2018 7:00 PM",[G] Panama - Tunisia,47
Thursday,"Jun 28, 2018 7:00 PM",[G] England - Belgium,48
Saturday,"Jun 30, 2018 3:00 PM",[R16] 1 C - 2 D,49
Saturday,"Jun 30, 2018 7:00 PM",[R16] 1 A - 2 B,50
Sunday,"Jul 1, 2018 3:00 PM",[R16] 1 B - 2 A,51
Sunday,"Jul 1, 2018 7:00 PM",[R16] 1 D - 2 C,52
Monday,"Jul 2, 2018 3:00 PM",[R16] 1 E - 2 F,53
Monday,"Jul 2, 2018 7:00 PM",[R16] 1 G - 2 H,54
Tuesday,"Jul 3, 2018 3:00 PM",[R16] 1 F - 2 E,55
Tuesday,"Jul 3, 2018 7:00 PM",[R16] 1 H - 2 G,56
Friday,"Jul 6, 2018 3:00 PM",[R8] Winner 1A/2B 50 - Winner 1C/2D 49,57
Friday,"Jul 6, 2018 7:00 PM",[R8] Winner 1E/2F 53 - Winner 1G/2H 54,58
Saturday,"Jul 7, 2018 3:00 PM",[R8] Winner 1F/2E 55 - Winner 1H/2G 56,59
Saturday,"Jul 7, 2018 7:00 PM",[R8] Winner 1B/2A 51 - Winner 1D/2C 52,60
Tuesday,"Jul 10, 2018 7:00 PM",[R4] Winner 1A/2B/1C/2D 57 - Winner 1E/2F/1G/2H 58,61
Wednesday,"Jul 11, 2018 7:00 PM",[R4] Winner 1B/2A/1D/2C 60 - Winner 1F/2E/1H/2G 59,62
Saturday,"Jul 14, 2018 3:00 PM",[3rd] Loser half final 1 61 - Loser half final 2 62,63
Sunday,"Jul 15, 2018 4:00 PM",[final] Winner half final 1 61 - Winner half final 2 62,64
